problem,tfes,method,runs,best_mean,best_std,best_median,best_q1,best_q3,best_iqr,final_mean,final_std,gap_vs_no_coordination,gap_vs_validated,gap_vs_disable_fast,fusion_count,freeze_count,disable_count,fusion_validation_accept_rate,validation_accept_rate,validation_extra_fe_ratio,cc_pass_count_mean,relation_history_size_mean
S4,10000,validated-selective-conflict,10,880431519430.0896,305923707118.92737,804595386161.4661,724298967824.8093,967290969336.4988,242992001511.68945,881251852319.3903,306644387559.0869,0.004113355168092911,0.0,0.00827266939816047,10542,7178,330,0.09400497867799422,0.11052631578947367,0.0019,19.0,0.0
S4,20000,arac-lite-v0.1-disable-fast,10,5491893009.5273,1761277274.078656,5082304692.039986,4575457077.335627,5913491679.010649,1338034601.6750221,5493847971.113233,1761612075.6962924,-0.001581587649086995,-0.002806670317923433,0.0,1068,697,34335,0.09656976131291681,0.33208707958707956,0.00047000000000000004,38.0,95.0
S4,20000,arac-lite-v0.6-no-delta-hard-block,10,5491893009.5273,1761277274.078656,5082304692.039986,4575457077.335627,5913491679.010649,1338034601.6750221,5493847971.113233,1761612075.6962924,-0.001581587649086995,-0.002806670317923433,0.0,1068,697,34335,0.09656976131291681,0.33208707958707956,0.00047000000000000004,38.0,95.0
S4,20000,arac-lite-v0.6-targeted-probe,10,5491893009.5273,1761277274.078656,5082304692.039986,4575457077.335627,5913491679.010649,1338034601.6750221,5493847971.113233,1761612075.6962924,-0.001581587649086995,-0.002806670317923433,0.0,1068,697,34335,0.09656976131291681,0.33208707958707956,0.00047000000000000004,38.0,95.0
S4,20000,no-coordination,10,5500592678.971019,1736106187.3048527,5081532959.727365,4735412443.276754,5862957778.490836,1127545335.2140818,5500922434.797396,1736273646.195788,0.0,-0.001227023313754614,0.0015840930310599243,0,0,0,0.0,0.0,0.0,37.0,0.0
S4,20000,validated-selective-conflict,10,5507350326.218303,1714237159.7159853,5117577399.68236,4710723330.751045,5787850217.483365,1077126886.7323198,5520290671.910553,1707541761.6788566,0.0012285307496260696,0.0,0.0028145698876849193,21707,13298,145,0.1443892881944868,0.15135135135135136,0.0018500000000000003,37.0,0.0
S6,5000,arac-lite-v0.1-disable-fast,10,23230229241515.836,5280548360133.015,23500549172012.38,18715049250193.82,26014792746086.332,7299743495892.512,23280919195446.445,5314856568901.572,0.008426715109519624,0.004140615054349899,0.0,2162,1355,14913,0.11582931418367433,0.25337301587301586,0.0015400000000000001,9.7,189.7
S6,5000,arac-lite-v0.6-no-delta-hard-block,10,23230229241515.836,5280548360133.015,23500549172012.38,18715049250193.82,26014792746086.332,7299743495892.512,23280919195446.445,5314856568901.572,0.008426715109519624,0.004140615054349899,0.0,2162,1352,14916,0.11582931418367433,0.25337301587301586,0.0015400000000000001,9.7,189.7
S6,5000,arac-lite-v0.6-targeted-probe,10,23230229241515.836,5280548360133.015,23500549172012.38,18715049250193.82,26014792746086.332,7299743495892.512,23280919195446.445,5314856568901.572,0.008426715109519624,0.004140615054349899,0.0,2162,1352,14916,0.11582931418367433,0.25337301587301586,0.0015400000000000001,9.7,189.7
S6,5000,no-coordination,10,23036110501091.723,5290379735712.45,23308646350384.668,18665508933949.453,25972545099682.676,7307036165733.223,23070425727615.1,5302317166084.051,0.0,-0.004250284121741296,-0.008356298958823642,0,0,0,0.0,0.0,0.0,9.0,0.0
